timepertopic,"[222.0, 95.0, 332.0, 405.0, 962.0, 857.0, 558.0, 566.0, 1459.0, 938.0, 305.0, 152.0]"
timeperquery,"[90.0, 8.0, 10.0, 6.0, 140.0, 52.0, 23.0, 81.0]"
timepersearchpage,"[90.0, 8.0, 10.0, 6.0, 140.0, 52.0, 23.0, 81.0]"
queriespertopic,"[8, 1, 1, 7, 5, 6, 17, 5, 3, 6, 6, 3]"
docviewspertopic,"[3, 2, 7, 5, 18, 16, 4, 5, 12, 15, 6, 3]"
flagspertopic,"[17, 11, 4, 3, 8, 7, 6, 24, 5, 7, 3, 3]"
docviewsperquery,"[0, 0, 0, 0, 1, 1, 0, 1, 2, 7, 4, 0, 0, 2, 0, 0, 0, 3, 4, 0, 2, 11, 6, 0, 3, 3, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 1, 0, 0, 0, 0, 1, 0, 1, 0, 3, 11, 0, 2, 0, 3, 7, 0, 1, 6, 2, 0, 0, 0, 3, 1, 1, 1, 1]"
pagedepthperquery,"[1, 1, 1, 1, 1, 1, 1, 3, 2, 2, 1, 1, 2, 1, 3, 2, 2, 1, 1, 1, 1, 2, 1, 1, 2, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 3, 3, 4, 1, 5, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
flagsperquery,"[0, 0, 0, 0, 0, 0, 4, 13, 11, 4, 1, 0, 0, 2, 0, 0, 0, 0, 2, 0, 2, 5, 3, 0, 0, 2, 0, 2, 1, 0, 0, 0, 0, 0, 1, 0, 2, 0, 0, 1, 1, 0, 0, 0, 0, 5, 2, 10, 0, 7, 5, 0, 0, 0, 0, 3, 0, 0, 4, 1, 0, 0, 0, 1, 1, 1, 1, 1]"
interactiverecall,"[0.15789473684210525, 0.14084507042253522, 0.010638297872340425, 0.021052631578947368, 0.07368421052631578, 0.08450704225352113, 0.012121212121212121, 0.06382978723404255, 0.013297872340425532, 0.07368421052631578, 0.028169014084507043, 0.006060606060606061]"
interactivetrecprecision,"[0.3333333333333333, 1.0, 0.5714285714285714, 0.8, 0.7222222222222222, 0.75, 0.5, 1.0, 0.5833333333333334, 0.7333333333333333, 0.8333333333333334, 0.3333333333333333]"
interactiveuserprecision,"[0.8823529411764706, 0.9090909090909091, 1.0, 0.6666666666666666, 0.875, 0.8571428571428571, 0.3333333333333333, 1.0, 1.0, 1.0, 0.6666666666666666, 0.3333333333333333]"
